Topics,Menus,Title,Authors,Date,Images,Text
Africa,/world/africa/,"Survivors in shock as Cyclone Freddy toll passes 300 in Malawi, Mozambique",Tom Gibb,2023-03-16 13:44:00+00:00,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/CUQ5A72TE5NXVMXYQO6KLKAHLY.jpg,"BLANTYRE, March 16 (Reuters) - The last thing Lukia Akimu remembers is the surge of floodwater that hit her village near Mount Soche earlier this week when Tropical Cyclone Freddy tore through southern Malawi.
The next thing she knew, she woke up in the hospital, her head wrapped in bandages and her neck in a brace.
""I saw a lot of water and some people being washed away. Then I do not know what happened. I do not know who brought me here,"" said Akimu, 35, from a bed in Queen Elizabeth hospital in the city of Blantyre.
It is not known whether any of her family members survived, a nurse told Reuters.
Tropical Cyclone Freddy has killed more than 300 people in Malawi, Mozambique and Madagascar since it first made landfall last month, with the toll expected to rise as authorities continue to assess the damage and count the dead in hard-to-reach areas cut off by floods.
The storm has now dissipated, but heavy rains are expected to continue in parts of Malawi and will likely cause more floods around lakeshore areas, said the country's ministry of natural resources and climate change in a statement.
View 2 more stories 
In Mozambique, some villages have been completely cut off since the cyclone made its second landfall on Saturday.
""We mobilised boats and other means to search and rescue people. There are lots of communities stranded,"" said Paulo Tomas, spokesperson for Mozambique's disaster relief agency.
""After this time they are starving and in need of a proper meal and medical assistance,"" he said.
At least 53 people have died in Mozambique and 225 in Malawi since the weekend, according to government figures. The storm had already killed about 27 people in Madagascar and Mozambique before it lashed Mozambique a second time.
Malawi President Lazarus Chakwera visited Queen Elizabeth hospital on Thursday, where he prayed with flood victims. The storm left at least 700 people injured in Malawi at last count.
As rain continued to fall, some had to bury their dead.
In the southern Malawi village of Mtauchira, men stood in newly dug graves that had filled up like pools, scooping the water out with buckets so they could lower in the caskets.
While electricity was starting to come back in Malawi on Thursday, many places affected by the storm still had no running water, including in Blantyre, the second-biggest city.
Some Blantyre residents said they wished they had heeded warnings to flee before the cyclone hit, but they did not understand the gravity and had nowhere to go.
""It was very difficult for people to really understand what was going on prior to this storm. Government sent out the messages but then nothing happened,"" said Blantyre resident Logasiano Misoya. ""I am lucky to be alive.""
Freddy is one of the longest-lasting tropical cyclones ever recorded and one of the deadliest in Africa in recent years.
Our Standards: The Thomson Reuters Trust Principles.
"
World,/world/africa/,"Survivors in shock as Cyclone Freddy toll passes 300 in Malawi, Mozambique",Tom Gibb,2023-03-16 13:44:00+00:00,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/CUQ5A72TE5NXVMXYQO6KLKAHLY.jpg,"BLANTYRE, March 16 (Reuters) - The last thing Lukia Akimu remembers is the surge of floodwater that hit her village near Mount Soche earlier this week when Tropical Cyclone Freddy tore through southern Malawi.
The next thing she knew, she woke up in the hospital, her head wrapped in bandages and her neck in a brace.
""I saw a lot of water and some people being washed away. Then I do not know what happened. I do not know who brought me here,"" said Akimu, 35, from a bed in Queen Elizabeth hospital in the city of Blantyre.
It is not known whether any of her family members survived, a nurse told Reuters.
Tropical Cyclone Freddy has killed more than 300 people in Malawi, Mozambique and Madagascar since it first made landfall last month, with the toll expected to rise as authorities continue to assess the damage and count the dead in hard-to-reach areas cut off by floods.
The storm has now dissipated, but heavy rains are expected to continue in parts of Malawi and will likely cause more floods around lakeshore areas, said the country's ministry of natural resources and climate change in a statement.
View 2 more stories 
In Mozambique, some villages have been completely cut off since the cyclone made its second landfall on Saturday.
""We mobilised boats and other means to search and rescue people. There are lots of communities stranded,"" said Paulo Tomas, spokesperson for Mozambique's disaster relief agency.
""After this time they are starving and in need of a proper meal and medical assistance,"" he said.
At least 53 people have died in Mozambique and 225 in Malawi since the weekend, according to government figures. The storm had already killed about 27 people in Madagascar and Mozambique before it lashed Mozambique a second time.
Malawi President Lazarus Chakwera visited Queen Elizabeth hospital on Thursday, where he prayed with flood victims. The storm left at least 700 people injured in Malawi at last count.
As rain continued to fall, some had to bury their dead.
In the southern Malawi village of Mtauchira, men stood in newly dug graves that had filled up like pools, scooping the water out with buckets so they could lower in the caskets.
While electricity was starting to come back in Malawi on Thursday, many places affected by the storm still had no running water, including in Blantyre, the second-biggest city.
Some Blantyre residents said they wished they had heeded warnings to flee before the cyclone hit, but they did not understand the gravity and had nowhere to go.
""It was very difficult for people to really understand what was going on prior to this storm. Government sent out the messages but then nothing happened,"" said Blantyre resident Logasiano Misoya. ""I am lucky to be alive.""
Freddy is one of the longest-lasting tropical cyclones ever recorded and one of the deadliest in Africa in recent years.
Our Standards: The Thomson Reuters Trust Principles.
"
Africa,/world/africa/,"As Russia looms, US seeks influence in West Africa's fight against Islamists",Cooper Inveen,2023-03-15 21:13:00+00:00,,"DABOYA, Ghana, March 15 (Reuters) - U.S. commanders leading annual counter-terrorism exercises in West Africa have urged coastal countries to depend on each other to contain a spreading Islamist insurgency, rather than non-Western powers, after Mali last year hired Russian mercenaries.
Relations between Russia and the U.S. have become more hostile since Moscow invaded Ukraine over a year ago, and Washington and its allies oppose Russian influence in West Africa.
During drills this month in northern Ghana, trainers urged troops to share phone numbers with foreign counterparts operating over poorly marked borders, often just a few miles apart. Elsewhere, soldiers have also learned to use motorbikes, as the insurgents do, for their speed and manoeuvrability.
Overrun by Islamist groups, and amid a row with former colonial power France, Mali's military government last year hired private Russian military contractor Wagner Group, whose fighters are playing key roles in Ukraine, to combat the militants. This has worried Western governments and the United Nations who say the move has led to a spike in violence.
View 2 more stories 
Mali, whose government took power in a 2021 military coup, has previously said Russian forces are not mercenaries but trainers helping local troops with equipment from Russia.
""You have governments with so many problems that they begin reaching out to other malign actors who are perhaps more exploitive of the resources in those countries,"" Colonel Robert Zyla from U.S. Special Operations Command Africa (SOCAF) told Reuters at exercises in Ghana.
""Contrast that with what we’re trying to bring, which are partnerships between neighbours and other democratic nations.""
In this month's exercises, soldiers patrolled barren scrubland dotted with thin bushes. At the centre of the strategy is engaging border communities and making sure armies work together in a region where frontiers span hundreds of miles of sparsely populated desert.
""No one country can solve this by themselves,"" Zyla said. ""Going forward it will be about teaching countries in the region how to reach across borders and talk.""
[1/5] Ghanaian military personnel train shooting during the annual counter-terrorism program called ""Operation Flintlock"", in Daboya, Ghana March 2, 2023. REUTERS/Francis Kokoroko
For a decade, offensive efforts have failed to stop an Islamist insurgency that has killed thousands and displaced millions. Security experts say it could get worse after thousands of French troops were forced out of Mali and Burkina Faso by military juntas this year.
The main challenge is a lack of resources and large-scale international commitment to defence in one of the poorest parts of the world, experts said.
Ghana has bolstered troops in its northern regions. But it has no reconnaissance drones to monitor border areas, said Colonel Richard Kainyi Mensah, chief operations officer for Ghana's special operations brigade.
""Logistics and equipment are key,"" he said. ""Resources are limited.""
It is not clear what more resources the U.S. and Europe are willing to give. The U.S. has been reluctant to engage after four soldiers were killed in Niger in 2017. The UK, Germany and other nations are pulling troops from a United Nations peacekeeping mission in Mali as security worsens.
Earlier this month, General Michael Langley, the commander of U.S. Africa Command, told journalists that ""stabilization and security"" were its focus in Africa, without providing details.
Some believe that not enough is being done.
""There’s a lot of hesitancy to deploy more than we need to,"" said Aneliese Bernard, director of Strategic Stabilization Advisors, a U.S.-based risk advisory group. ""The irony is that means we're basically putting a Band-Aid on a severed limb.""
Timing is crucial, security experts and military officials said. Islamist violence that began in 2012 in Mali has spread. Armed groups have a foothold in coastal countries including Benin and Togo and threaten economic leaders Ivory Coast and Ghana.
Our Standards: The Thomson Reuters Trust Principles.
"
Africa,/world/africa/,"Blinken praises Ethiopia on Tigray peace, no return to trade programme yet",Daphne Psaledakis,2023-03-15 21:04:00+00:00,,"ADDIS ABABA, March 15 (Reuters) - U.S. Secretary of State Antony Blinken praised Ethiopia on Wednesday for its progress in implementing a peace deal to end the Tigray conflict, but stopped short of ushering the country back into a U.S. trade programme.
Visiting Ethiopia to repair relations that were strained by the two-year war in the northern region, Blinken met with Prime Minister Abiy Ahmed and discussed ongoing efforts to solidify peace, restore basic services and address humanitarian needs.
The Ethiopian government and forces from Tigray signed a ceasefire in November, ending a conflict that killed tens of thousands of people, left hundreds of thousands facing hunger and displaced millions.
The U.S. government restricted economic and security assistance to Ethiopia during the war and cut access to the U.S. African Growth and Opportunity Act (AGOA), a duty-free trade programme that had been a boon for the country's textile sector.
View 2 more stories 
""Certainly we share the aspiration of Ethiopia returning to AGOA,"" Blinken told reporters after his meetings with Abiy and other government figures, adding that ""it's moving in the right direction"" as Ethiopia continues to implement the peace accord.
He said Ethiopia had been given clear benchmarks and Washington would continue to work with the government in Addis to achieve the goal.
""We have agreed to strengthen the long-standing bilateral relations between our countries with a commitment to partnership,"" Abiy said on Twitter after the meeting.
Blinken also met on Wednesday with Ethiopia's National Security Advisor Redwan Hussein and the spokesperson of the rebellious forces of the Tigray People's Liberation Front (TPLF), Getachew Reda, the State Department said. The parties acknowledged the progress but agreed ""much work remains to fully implement"" the ceasefire agreement.
The two sides also discussed the need for the establishment of a Tigrayan interim administration as key to maintaining positive momentum, the statement said.
During a visit to a United Nations logistics warehouse, Blinken announced $331 million in new humanitarian aid to Ethiopia, saying this would provide life-saving support for people affected by conflict, drought and food insecurity.
His visit is the latest in a series to Africa by senior Biden administration officials as Washington looks to reinforce ties with a continent where China's diplomatic and economic influence is ubiquitous.
On Thursday, he will head to the West African nation of Niger, which has been confronting a growing Islamist insurgency.
The United States was outspoken in its criticism of alleged atrocities by Ethiopian forces and their allies from Eritrea and the Amhara region during the Tigray war.
Ethiopia, Africa's second most populous nation and traditionally a U.S. ally in East Africa, accused Washington of meddling in its internal affairs and threatened to reassess the bilateral relationship.
It has denied the most serious allegations of human rights violations during the war.
Blinken and Abiy discussed ""the importance of accountability for the atrocities perpetrated by all parties during the conflict, as well as the need for an inclusive and comprehensive process of transitional justice,"" U.S. State Department spokesperson Ned Price said.
As well as mending ties with allies, Ethiopia is also looking to restructure its debt and secure an International Monetary Fund loan, which the state finance minister said last year was being delayed in part by the Tigray war.
While the peace deal has allowed humanitarian aid to flow into Tigray, needs remain immense.
Allegation of abuses, especially sexual violence, have persisted after the deal was signed, though Blinken said human rights advocates had told him during his meeting with them on Wednesday that there had been a significant drop.
""We strongly urge all parties ... to do everything possible to ensure that they cease entirely,"" he said.
Eritrean troops remain in several border areas while militia from the Amhara region, which neighbours Tigray, occupy large areas of territory in contested parts of western and southern Tigray, humanitarian workers say.
Asked by reporters about the Eritrean troops, Blinken said they were departing, but the process was not complete.
Eritrea's government spokesperson has not responded to requests for comment about the actions of Eritrean troops or any other aspect of its policies.
A spokesperson for the Amhara regional government said it and the people of Amhara were ""always ready to co-operate with peace deal process and activities"".
Our Standards: The Thomson Reuters Trust Principles.
"
Africa,/world/africa/,Blinken brings aid and praise to Niger as it battles insurgents,Reuters,2023-03-16 12:20:00+00:00,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/W6LIFGAXFZM6JBDODWWV6DRL44.jpg,"March 16 (Reuters) - U.S. Secretary of State Antony Blinken will announce new humanitarian aid on Thursday during a visit to Niger, a country in West Africa's Sahel region that Washington wants to support as it grapples with Islamist insurgencies.
Blinken's visit to Niger, the first by a U.S. Secretary of State, signals its importance as a U.S. ally in the Sahel, a senior State Department official told reporters travelling with Blinken.
""They're making the right choices, we think, to help deal with the kind of threats that are common across the Sahel. So, we're trying to highlight a positive example,"" the official said.
Landlocked Niger and other countries in the Sahel, including its neighbours Mali, Burkina Faso, Nigeria and Chad, are all struggling to repel Islamist insurgents who in some cases have seized control of swathes of territory.
View 2 more stories 
The official praised Niger's President Mohamed Bazoum for opposing military coups in Mali and Burkina Faso and for consulting the parliament over security issues rather than deciding alone.
The official also praised Bazoum for speaking out against Russia's Wagner group, which has been hired by Mali's junta to help fight insurgents there. Mali describes the Wagner personnel on its territory as ""trainers"".
A French-led international force has been on the ground in Mali for a decade but has fallen out of favour with Mali's leadership. Anti-French sentiment has been on the rise in Mali and several other former French colonies in West Africa.
Ghana has asserted that Burkina Faso has also hired Wagner mercenaries. Burkina Faso's junta has neither confirmed nor denied that.
""I think it's quite interesting that Wagner is most active in francophone Africa. I believe they're trying to capitalise on anti-French sentiment,"" the State Department official said.
""They use a lot of misinformation and disinformation to besmirch the French, I think, and the traditional French security partnership.""
The official said the United States had a positive image in the region and we were not seen in the way the French were.
""The Russians are not, the Wagner Group are not a good partner,"" the official added.
Blinken was travelling to Niger from Ethiopia, where he met on Wednesday with Prime Minister Abiy Ahmed and other government figures in an effort to repair the diplomatic damage caused by the two-year war in Tigray that ended in November.
His trip is the latest in a series of visits to Africa by senior figures from President Joe Biden's administration, which is seeking to reinforce ties with a continent where China's diplomatic and economic influence is ubiquitous and some countries maintain cordial relations with Russia.
Our Standards: The Thomson Reuters Trust Principles.
"
Africa,/world/africa/,Senegal rocked by more unrest as police clash with opposition protesters,Bate Felix,2023-03-16 13:30:00+00:00,,"DAKAR, March 16 (Reuters) - Police fired tear gas at stone-hurling protesters during street clashes in Senegal's capital on Thursday, ahead of a court case involving a prominent opposition politician that has triggered widespread anger among the West African country's youth.
Demonstrators in Dakar burned tyres and set fire to buses and a large supermarket, the latest in a series of outbreaks of violence that have shaken Senegal's reputation as a bastion of stable democracy, just months ahead of a presidential election.
Thursday's clashes began when supporters of presidential hopeful Ousmane Sonko were blocked from accompanying his motorcade to the courthouse where he faces trial for libel.
Sonko, 48, who came third in the 2019 presidential election, is also charged with raping a beauty salon employee in 2021 and making deaths threats against her. He denies all wrongdoing and says the accusations are politically motivated to stop him running in the February 2024 polls.
View 2 more stories 
Much of the anger on the street is targeted towards President Macky Sall, whose failure to rule out running for a third term in office has incensed many.
Senegal's constitution only allows two terms, but some fear that Sall will use a recent tweak to the constitution to reset his mandate, repeating a tactic used by other rulers to extend power elsewhere in the region.
""We elected Macky Sall to work, not to establish a dictatorship. He must leave Sonko alone, if he does not leave him alone we will burn the country,"" a Sonko supporter said.
Tensions have flared ahead of Sonko's court appearance this week, with three days of protest. More than 10,000 supporters gathered at a field in Dakar on Tuesday to cheer on Sonko.
The former tax inspector urged his supporters to join him in court on Thursday for the hearing. But his convoy and supporters were stopped along a main road by police.
Sonko was forced out of his car and bundled into a police armoured personnel carrier and driven to court, triggering the clashes.
Sonko supporters accuse Sall of seeking to eliminate him from the competition with a guilty verdict.
The libel case was brought by Senegal's tourism minister who said Sonko had allegedly accused him of embezzlement.
(This story has been refiled to fix a typographical error in paragraph 1)
Our Standards: The Thomson Reuters Trust Principles.
"
Africa,/world/africa/,Tunisia arrests another union leader - UGTT,Tarek Amara,2023-03-16 10:18:00+00:00,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/26RKVVALGNLBZHJLLTYFPAWSWY.jpg,"TUNIS, March 16 (Reuters) - Tunisian police arrested an official in the powerful UGTT union on suspicion of insulting a minister, a union official said on Thursday, the second such recent detention in an escalating confrontation between the labour body and President Kais Saied.
The UGTT has lately been at the forefront of protests against Saied, who seized wide-ranging powers in 2021 and has been cracking down on political opponents.
A union official, who asked not to be named, told Reuters that its general secretary for culture, Abdel Nasser Ben Amara, was arrested on Wednesday after a protest at the Culture Ministry on Monday. He gave no more details.
Government officials were unavailable for comment.
The UGTT was initially slow to criticize Saied after what opponents call his ""coup"" in 2021. But as the president consolidated his grip while sidelining the union and other players, it began to openly challenge him.
View 2 more stories 
Critics say Saied has dismantled the democracy and freedoms won in a 2011 revolution that triggered the Arab Spring.
He counters that he is saving Tunisia from chaos.
Another senior union official was detained last month for organizing a strike by highway tollbooth operators, prompting the UGTT's newspaper to accuse Saied of declaring war on the organization and its 1 million members.
The UGTT has been holding rallies around Tunisia since last month after weeks of arrests in the biggest crackdown since Saied began ruling by decree in 2021.
Police have detained more than a dozen prominent opposition figures, accusing them of conspiring against state security.
Our Standards: The Thomson Reuters Trust Principles.
"
Africa,/world/africa/,Son of Uganda's president says to stand for leadership in 2026,Reuters,2023-03-16 10:00:00+00:00,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/RI34HXEJPZJN3K23FR7BWZNID4.jpg,"KAMPALA, March 16 (Reuters) - The son of Uganda's aging leader, Yoweri Museveni, has said he intends to stand for the presidency in 2026, the first time the outspoken general has given a timeline for replacing his father, who has ruled the east African country for 37 years.
Uganda's opposition has long accused Museveni of seeking to impose a monarchy on Uganda and claimed he was grooming his son Muhoozi Kainerugaba to take over from him. Museveni has denied such accusations.
Currently a special presidential advisor for special operations, the 48 year-old general is known for firing off controversial tweets that have earned him reprimands from his father.
Kainerugaba quickly deleted the messages about his presidential aspirations, which he had posted to Twitter late on Wednesday.
""You have wanted me to say it forever! Okay, in the name of Jesus Christ my God, in the name of all the young people of Uganda and the world and in the name of our great revolution, I will stand for the Presidency in 2026,"" Kainerugaba wrote.
View 2 more stories 
In another tweet, he expressed his impatience at waiting so long to replace his father.
""The Prime Minister of UK is 42 years old, the Prime Minister of Finland is 37 years. Some of us are hitting 50 years old. We are tired of waiting forever,"" he said.
Kainerugaba previously served as commander of land forces but was removed from that position after threatening to invade neighbouring Kenya, which he later said was a joke.
Museveni not yet said whether he intends to stand again in 2026, although his supporters have encouraged him to do so.
Our Standards: The Thomson Reuters Trust Principles.
"
Africa,/world/africa/,"Gold Fields, AngloGold rule out merger after Ghana joint-venture deal",Nelson Banya,2023-03-16 11:00:00+00:00,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/BAHHITP7UFOL5GJS7YTQBZ7KNE.jpg,"March 16 (Reuters) - Gold Fields (GFIJ.J) and AngloGold Ashanti (ANGJ.J) are not considering a full-scale merger after they agreed to combine their neighbouring Tarkwa and Iduapriem mines in Ghana to create Africa's biggest gold mine, the two companies said on Thursday.
Gold miners are increasingly looking to consolidate as they seek to replace depleting reserves and contain cost pressures.
Last month, U.S.-based Newmont Corp (NEM.N), the world's top gold producer, bid $16.9 billion for Australia's Newcrest Mining (NCM.AX), triggering speculation of a new wave of mergers and acquisitions in the industry.
When asked by reporters if a merger was under consideration, AngloGold CEO Alberto Calderon said: ""We are in similar places around the world, but for now this is the thing we are focused on. We’re not going to entertain any speculation on that (a merger). There’s no conversation or anything of that sort.""
Calderon and Gold Fields interim CEO Martin Preece said on a conference call about their joint venture that they would explore other opportunities to maximise synergies where they arise.
View 2 more stories 
The South Africa-headquartered AngloGold and Gold Fields are among the five biggest gold producing companies by output in the world, with operations in Africa, Australia and South America.
Calderon has previously said AngloGold prefers internal growth to acquisitions.
Gold Fields' Preece, who last month said the company was no longer pursuing big M&A deals after its failed bid for Canada's Yamana Gold (YRI.TO) said on the conference call ""collaboration is easier"".
""I think it’s going to be asset-specific and opportunity-specific,"" Preece said.
Gold Fields and AngloGold would own 60% and 30% of the joint operation, respectively, with the Ghanaian government holding 10%, Calderon said.
The joint venture would produce an average 900,000 ounces annually over the first five years and 600,000 ounces over its estimated 18-year life of the mine, the companies said.
""The proposed joint venture would create the largest gold mine in Africa and one of the largest in the world. It will be a high-quality operation, supported by a substantial mineral
endowment and an initial life spanning almost two decades,"" the companies said in a joint statement.
The combined operation's all-in sustaining costs (AISC), an industry measure, would be less than $1,000 per ounce for the first five years and less than $1,200 per ounce over the estimated life of mine.
Tarkwa produced 531,600 ounces in 2022 at AISC of $1,248 per ounce, while Iduapriem produced 248,000 ounces at a cost of $1,299 per ounce.
Apart from Tarkwa, Gold Fields has two other mines in Ghana, Damang and the 45%-owned Asanko. AngloGold also has another mine in Ghana, Obuasi, in addition to Iduapriem.
Our Standards: The Thomson Reuters Trust Principles.
"
Africa,/world/africa/,South African rand pauses after sharp fall,Reuters,2023-03-16 07:00:00+00:00,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/APMN3LTGLFOYRDA5M26Q5K7KYY.jpg,"JOHANNESBURG, March 16 (Reuters) - The South African rand was steady in early trade on Thursday, after plummeting a day earlier when a U.S. banking crisis spread to Europe and led to a sharp deterioration in global risk appetite.
At 0645 GMT, the rand traded at 18.4075 against the dollar , little changed from its previous close of 18.4175.
The local currency ended about 1.6% lower against the U.S. dollar on Wednesday, shrugging off a smaller-than-expected contraction in local retail sales in January.
No major South African economic data releases are due on Thursday.
Recent data have pointed to ongoing weakness in Africa's most industrialised economy, after a bigger-than-forecast fall in the fourth-quarter gross domestic product.
Severe power constraints are hurting businesses of all sizes, leading the central bank to expect almost no economic growth this year.
South Africa's benchmark 2030 government bond was also broadly flat in early deals, with the yield at 10.040%.
Our Standards: The Thomson Reuters Trust Principles.
"
